"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"SLE","Sierra Leone","Africa","Western Africa","4854000","45.3","746","Republic","Ahmed Tejan Kabbah"
"SLV","El Salvador","North America","Central America","6276000","69.7","11863","Republic","Francisco Guillermo Flores Pérez"
"SMR","San Marino","Europe","Southern Europe","27000","81.1","510","Republic",""
"SOM","Somalia","Africa","Eastern Africa","10097000","46.2","935","Republic","Abdiqassim Salad Hassan"
"SPM","Saint Pierre and Miquelon","North America","North America","7000","77.6","0","Territorial Collectivity of France","Jacques Chirac"
"STP","Sao Tome and Principe","Africa","Central Africa","147000","65.3","6","Republic","Miguel Trovoada"
"SUR","Suriname","South America","South America","417000","71.4","870","Republic","Ronald Venetiaan"
"SVK","Slovakia","Europe","Eastern Europe","5398700","73.7","20594","Republic","Rudolf Schuster"
"SVN","Slovenia","Europe","Southern Europe","1987800","74.9","19756","Republic","Milan Kucan"
"SWE","Sweden","Europe","Nordic Countries","8861400","79.6","226492","Constitutional Monarchy","Carl XVI Gustaf"
"SWZ","Swaziland","Africa","Southern Africa","1008000","40.4","1206","Monarchy","Mswati III"
"SYC","Seychelles","Africa","Eastern Africa","77000","70.4","536","Republic","France-Albert René"
"SYR","Syria","Asia","Middle East","16125000","68.5","65984","Republic","Bashar al-Assad"
"TCA","Turks and Caicos Islands","North America","Caribbean","17000","73.3","96","Dependent Territory of the UK","Elizabeth II"
"TCD","Chad","Africa","Central Africa","7651000","50.5","1208","Republic","Idriss Déby"
"TGO","Togo","Africa","Western Africa","4629000","54.7","1449","Republic","Gnassingbé Eyadéma"
"THA","Thailand","Asia","Southeast Asia","61399000","68.6","116416","Constitutional Monarchy","Bhumibol Adulyadej"
"TJK","Tajikistan","Asia","Southern and Central Asia","6188000","64.1","1990","Republic","Emomali Rahmonov"
"TKL","Tokelau","Oceania","Polynesia","2000","","0","Nonmetropolitan Territory of New Zealand","Elizabeth II"
"TKM","Turkmenistan","Asia","Southern and Central Asia","4459000","60.9","4397","Republic","Saparmurad Nijazov"
"TMP","East Timor","Asia","Southeast Asia","885000","46","0","Administrated by the UN","José Alexandre Gusmão"
"TON","Tonga","Oceania","Polynesia","99000","67.9","146","Monarchy","Taufa'ahau Tupou IV"
"TTO","Trinidad and Tobago","North America","Caribbean","1295000","68","6232","Republic","Arthur N. R. Robinson"
"TUN","Tunisia","Africa","Northern Africa","9586000","73.7","20026","Republic","Zine al-Abidine Ben Ali"
"TUR","Turkey","Asia","Middle East","66591000","71","210721","Republic","Ahmet Necdet Sezer"
"TUV","Tuvalu","Oceania","Polynesia","12000","66.3","6","Constitutional Monarchy","Elizabeth II"
"TWN","Taiwan","Asia","Eastern Asia","22256000","76.4","256254","Republic","Chen Shui-bian"
"TZA","Tanzania","Africa","Eastern Africa","33517000","52.3","8005","Republic","Benjamin William Mkapa"
"UGA","Uganda","Africa","Eastern Africa","21778000","42.9","6313","Republic","Yoweri Museveni"
"UKR","Ukraine","Europe","Eastern Europe","50456000","66","42168","Republic","Leonid KutÂšma"
"UMI","United States Minor Outlying Islands","Oceania","Micronesia/Caribbean","0","","0","Dependent Territory of the US","George W. Bush"
"URY","Uruguay","South America","South America","3337000","75.2","20831","Republic","Jorge Batlle Ibáñez"
"USA","United States","North America","North America","278357000","77.1","8510700","Federal Republic","George W. Bush"
"UZB","Uzbekistan","Asia","Southern and Central Asia","24318000","63.7","14194","Republic","Islam Karimov"
"VAT","Holy See (Vatican City State)","Europe","Southern Europe","1000","","9","Independent Church State","Johannes Paavali II"
"VCT","Saint Vincent and the Grenadines","North America","Caribbean","114000","72.3","285","Constitutional Monarchy","Elizabeth II"
"VEN","Venezuela","South America","South America","24170000","73.1","95023","Federal Republic","Hugo Chávez Frías"
"VGB","Virgin Islands, British","North America","Caribbean","21000","75.4","612","Dependent Territory of the UK","Elizabeth II"
"VIR","Virgin Islands, U.S.","North America","Caribbean","93000","78.1","0","US Territory","George W. Bush"
"VNM","Vietnam","Asia","Southeast Asia","79832000","69.3","21929","Socialistic Republic","Trân Duc Luong"
"VUT","Vanuatu","Oceania","Melanesia","190000","60.6","261","Republic","John Bani"
"WLF","Wallis and Futuna","Oceania","Polynesia","15000","","0","Nonmetropolitan Territory of France","Jacques Chirac"
"WSM","Samoa","Oceania","Polynesia","180000","69.2","141","Parlementary Monarchy","Malietoa Tanumafili II"
"YEM","Yemen","Asia","Middle East","18112000","59.8","6041","Republic","Ali Abdallah Salih"
"YUG","Yugoslavia","Europe","Southern Europe","10640000","72.4","17000","Federal Republic","Vojislav KoÂštunica"
"ZAF","South Africa","Africa","Southern Africa","40377000","51.1","116729","Republic","Thabo Mbeki"
"ZMB","Zambia","Africa","Eastern Africa","9169000","37.2","3377","Republic","Frederick Chiluba"
"ZWE","Zimbabwe","Africa","Eastern Africa","11669000","37.8","5951","Republic","Robert G. Mugabe"
